,Vehicle_ID,Vehicle_speed,Arrival time,Residency_time_seconds,Job_ID_assigned,Job_total_completion_time
0,OSI2AEAS,18.745891081442753,2946,586.7952583427365,OIU,108.47799805073089
1,IAE33OIS,16.405526165141637,394,670.505772827496,OAA,37.28371794890086
2,IAAOEAUI,15.47418664085449,686,710.8612720850946,MMI,10.195519089947766
3,2IMS2OEI,15.930855109958419,682,690.4839648641254,UAA,676.3004777367731
4,AAUSIIAU,15.638057117762678,346,703.412189709009,AAA,676.9431556183594
5,EOAAUA2S,17.09948468712635,2325,643.2942396376159,EUA,10.635095297279008
6,AI2AIEAM,15.775369676041452,934,697.2895232183398,IS2,679.1551009325842
7,AM3A23S2,18.38108653666128,1009,598.4412280558269,SS3,154.76451409976357
8,MMSAAAII,16.809519942966407,1575,654.3910853684266,AOU,46.50492764126568
9,EA3OU3SI,15.424240452285822,865,713.1631560093992,ME3,690.5639020273517
10,2AOEU3AE,16.47791693100888,3474,667.5601076310628,MOM,53.05622283956609
11,EA2E2UAE,16.245800604618807,149,677.0980555352018,IS2,3.096766576170239
12,MSEUEU3O,20.092021791774986,51,547.4809909126735,AAM,130.00085060243748
13,2EOOA2OM,16.130503492692323,1432,681.9377959890329,AUO,17.12320340236124
14,SIIAOSA3,15.969612296015814,993,688.8082062420726,IAA,79.14261910983339
15,AM2I3AAS,15.873461686121841,2517,692.9805367922546,SAU,672.536676302988
16,2EA22SAI,15.450168418933782,2684,711.9663489570628,AME,665.5678085458198
17,O32AUIU3,15.52694519382358,1010,708.4458573587069,OIU,649.6501678917333
18,OOAS3SEI,16.015938207435116,2521,686.8158366703391,IUO,32.04629999540248
19,S2IOOAAE,16.74539465532603,1908,656.8970290886125,AMU,93.15100137737784
20,EASA3OAS,18.227592395424473,3101,603.4806880343255,IA3,119.70814660927158
21,SEAME22I,15.695377028725304,2542,700.843310732075,232,10.53355910142102
22,OMSSAUAA,16.089705003451467,2756,683.6669782100012,2SA,52.53024933395568
23,M3MOAE3U,15.677035906173344,228,701.6632522777084,2AI,2.9148613743117266
24,AEUO3OOO,15.849986817164295,3443,694.0068863708998,SSA,25.657253381819714
25,EAUUAOEU,16.575799157439118,683,663.618079316753,U23,0.4951602838563076
26,23EOM2UO,16.59106066159069,465,663.0076415467316,OSA,48.160270093621875
27,EOOIAIIS,16.349855670655625,143,672.788813649442,MSO,8.498485134674866
